,id,text,creator_id,created_on,language_id,activity_id,score,label
2,1672475,laptop is a kind of computer.,23158,2007-06-13 23:56:38-04,en,31.0,6.0,0
3,1672476,coke is a kind of drink.,23158,2007-06-13 23:57:35-04,en,24.0,5.0,0
4,1672477,sparrow is a kind of bird.,23158,2007-06-13 23:58:39-04,en,24.0,6.0,0
5,1672478,man is a kind of animal.,23158,2007-06-14 00:04:19-04,en,24.0,5.0,0
7,1672482,telephone is a kind of device.,23158,2007-06-14 04:41:15-04,en,24.0,4.0,0
12,1672487,french toast is a kind of food.,20003,2007-06-29 15:01:25-04,en,31.0,2.0,0
13,1672488,french toast is a kind of breakfast food.,20003,2007-06-29 15:01:56-04,en,31.0,2.0,0
14,1672489,french toast is a kind of toast.,20003,2007-06-29 15:02:12-04,en,31.0,2.0,0
16,1672491,ice cream is a kind of dessert.,20003,2007-06-29 15:11:55-04,en,24.0,7.0,0
62,1672339,a laptop is a kind of computer.,20003,2007-05-07 14:24:00-04,en,24.0,1.0,0
63,1672340,a laptop is a kind of portable computer.,20003,2007-05-07 14:24:22-04,en,31.0,1.0,0
109384,1981008,Glass is a kind of a container.,20003,2009-04-15 12:19:03.262835-04,en,40.0,1.0,0
109829,1981016,megahal is a kind of artificial intelligence.,24816,2009-04-15 16:22:43.082309-04,en,40.0,1.0,0
116018,1981130,a pornstar is a kind of whore.,24273,2009-04-20 14:42:17.685565-04,en,20.0,1.0,0
116231,1981134,a pornstar is a kind of a human.,24273,2009-04-20 15:03:27.061626-04,en,20.0,1.0,0
116644,1981142,swallowing semen is a kind of fetish.,24273,2009-04-20 15:26:50.998957-04,en,16.0,1.0,0
143099,1697052,a dentist is a kind of doctor.,12200.0,2008-12-01 11:32:19.271024-05,en,16.0,1.0,0
143155,1696825,a car is a kind of automobile.,24426.0,2008-11-27 16:24:29.896041-05,en,16.0,1.0,0
147341,1679052,Tango is a kind of dance.,23616.0,2007-10-20 17:49:12-04,en,31.0,1.0,0
167485,2675234,dog is a kind of animal,25276.0,2010-04-09 01:35:57.465495-04,en,43.0,1.0,0
167514,2675280,a bottle is a kind of container,38060.0,2010-04-16 13:39:08.083051-04,en,40.0,1.0,0
167525,2675289,a tennis ball is a kind of a toy.,38061.0,2010-04-16 20:23:11.532048-04,en,40.0,1.0,0
167527,2675292,a toy store is a kind of a place.,38061.0,2010-04-16 20:32:23.431442-04,en,40.0,1.0,0
167536,2675319,A dog is a kind of a loyal friend,25276.0,2010-04-21 02:08:39.142967-04,en,40.0,1.0,0
167549,2675342,war is a kind of evil,38113.0,2010-04-26 17:50:53.756455-04,en,40.0,1.0,0
167583,2675383,chess is a kind of a passtime.,38136.0,2010-05-02 14:39:45.545858-04,en,40.0,1.0,0
167606,2675413,Scouts is a kind of a human.,38174.0,2010-05-12 15:26:11.99485-04,en,40.0,1.0,0
167619,2675429,Depression is a kind of medical condition,393.0,2010-05-15 20:37:10.548507-04,en,40.0,1.0,0
167622,2675431,Existential-humanistic talk therapy is a kind of psychotherapy,393.0,2010-05-15 20:48:56.027392-04,en,40.0,1.0,0
167626,2675435,Antidepressant is a kind of placebo,393.0,2010-05-15 21:18:04.223446-04,en,40.0,1.0,0
167630,2675438,A mental disorder is a kind of biological condition,393.0,2010-05-15 23:27:58.01466-04,en,40.0,1.0,0
167631,2675439,A mental disorder is a kind of psychological condition,393.0,2010-05-15 23:28:33.816859-04,en,40.0,1.0,0
167638,2675445,Mental illness is a kind of health problem,393.0,2010-05-17 01:36:35.157694-04,en,40.0,1.0,0
